Draw,Date,Weekday,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
25/080,2025-07-21,Monday,17,20,28,31,35,48,32,48,2,4,3,3,0,2,1,2,1,1,10205890,7,233860,23,116930,83,9600,1731.9,640,2592.7,320,36678.1,40,29119529
25/079,2025-07-19,Saturday,6,25,29,40,48,49,42,,1,5,3,3,1,0,2,1,2,0.5,6665955,2,763820,48.5,83990,188.5,9600,2990.2,640,3687,320,60833.2,40,40058182
25/078,2025-07-17,Thursday,12,19,31,37,42,45,15,"12,31",2,4,4,2,0,2,0,2,2,0,0,0.5,748945,54,73970,120.5,9600,2393.5,640,3223.9,320,48419.3,40,37366707
25/077,2025-07-15,Tuesday,9,12,23,30,31,44,5,,3,3,3,3,1,1,2,1,1,1,14512800,2,862530,78,58970,288,9600,4481.9,640,7275.7,320,82839.3,40,48954023
25/076,2025-07-12,Saturday,5,17,20,24,27,35,38,,4,2,4,2,1,2,2,1,0,0,0,0,0,57,62570,134,9600,3466.3,640,3669.6,320,62377.3,40,36008395
25/075,2025-07-10,Thursday,6,13,23,25,32,39,34,"13,23",3,3,4,2,1,1,2,2,0,1,42939840,2.5,1098900,204,35910,320.5,9600,7449.9,640,9423.6,320,126597,40,75434727
25/074,2025-07-08,Tuesday,13,16,17,22,23,35,41,22,5,1,4,2,0,3,2,1,0,0,0,1.5,1719150,98,70160,220.5,9600,5298.6,640,5810.1,320,101322.7,40,66420101
25/073,2025-07-06,Sunday,5,9,22,33,46,47,36,,3,3,4,2,2,0,1,1,2,0,0,2.5,932560,89.5,69460,242.5,9600,5214,640,7008.6,320,99043.3,40,61971325
25/072,2025-07-03,Thursday,7,17,24,35,37,45,30,,3,3,5,1,1,1,1,2,1,0,0,4,563040,110,54590,290.5,9600,5919,640,8012.4,320,106560.7,40,62274915
25/071,2025-06-29,Sunday,19,29,32,34,42,46,20,29,1,5,2,4,0,1,1,2,2,0,0,1,1737020,92,50340,156.5,9600,4083,640,4308,320,69189,40,45448340
